Date,chamber,leaf,T_treatment,Water_treatment,percent_starch,starch_mgg,percent_sugar,sugar_mgg,percent_TNC,TNC_mgg,leafarea_cm2,leafmass_g
2013-06-17,C12,2,elevated,control,20.63594639,206.3594639,12.05440105,120.5440105,32.69034743,326.9034743,42.862,0.5537
2013-06-17,C12,3,elevated,control,14.54707306,145.4707306,12.55609034,125.5609034,27.1031634,271.031634,41.138,0.5007
2013-07-08,C01,1,ambient,control,16.46666404,164.6666404,16.30195609,163.0195609,32.76862013,327.6862013,41.82,0.5089
2013-07-08,C01,2,ambient,control,16.43817827,164.3817827,13.39400172,133.9400172,29.83217999,298.3217999,26.44,0.3012
2013-07-08,C01,3,ambient,control,,,,,,,49.02,0.5854
2013-07-08,C02,1,elevated,control,15.58333097,155.8333097,11.67043394,116.7043394,27.25376491,272.5376491,46.03,0.4821
2013-07-08,C02,2,elevated,control,12.12802872,121.2802872,11.45254982,114.5254982,23.58057854,235.8057854,33.03,0.378
2013-07-08,C02,3,elevated,control,11.32074415,113.2074415,12.71993751,127.1993751,24.04068166,240.4068166,38.71,0.4405
2013-07-08,C03,1,ambient,control,6.111680755,61.11680755,10.30619164,103.0619164,16.4178724,164.178724,29.78,0.3266
2013-07-08,C03,2,ambient,control,7.107379534,71.07379534,9.801232261,98.01232261,16.9086118,169.086118,37.95,0.4361
2013-07-08,C03,3,ambient,control,6.034997002,60.34997002,11.74221899,117.4221899,17.77721599,177.7721599,36.95,0.4098
2013-07-08,C04,1,elevated,control,21.42100792,214.2100792,13.04354962,130.4354962,34.46455754,344.6455754,30.3,0.3441
2013-07-08,C04,2,elevated,control,15.69665328,156.9665328,12.44949056,124.4949056,28.14614384,281.4614384,38.27,0.4005
2013-07-08,C04,3,elevated,control,22.67572461,226.7572461,10.83623359,108.3623359,33.5119582,335.119582,37.35,0.3883
2013-07-08,C05,1,ambient,control,20.66830233,206.6830233,9.767454957,97.67454957,30.43575729,304.3575729,40.5,0.5833
2013-07-08,C05,2,ambient,control,24.18673037,241.8673037,9.627170993,96.27170993,33.81390136,338.1390136,24.92,0.3127
2013-07-08,C05,3,ambient,control,22.14758959,221.4758959,9.623347884,96.23347884,31.77093747,317.7093747,25.85,0.3083
2013-07-08,C06,1,elevated,control,15.73941708,157.3941708,11.25526087,112.5526087,26.99467795,269.9467795,34.1,0.4089
2013-07-08,C06,2,elevated,control,17.85934734,178.5934734,10.49347909,104.9347909,28.35282643,283.5282643,40.64,0.4626
2013-07-08,C06,3,elevated,control,13.88737063,138.8737063,11.25863031,112.5863031,25.14600094,251.4600094,38.42,0.4258
2013-07-08,C07,1,ambient,control,20.62019298,206.2019298,12.33454159,123.3454159,32.95473457,329.5473457,63.91,1.0509
2013-07-08,C07,2,ambient,control,17.95692561,179.5692561,10.4595386,104.595386,28.41646421,284.1646421,82.25,1.1805
2013-07-08,C07,3,ambient,control,17.98149768,179.8149768,10.1760092,101.760092,28.15750688,281.5750688,48.72,0.6628
2013-07-08,C08,1,elevated,control,24.35189994,243.5189994,8.887604923,88.87604923,33.23950487,332.3950487,61.39,0.7238
2013-07-08,C08,2,elevated,control,23.84029626,238.4029626,10.37843958,103.7843958,34.21873584,342.1873584,58,0.6748
2013-07-08,C08,3,elevated,control,20.82689737,208.2689737,10.27809126,102.7809126,31.10498863,311.0498863,69.5,0.7985
2013-07-08,C09,1,ambient,control,10.29781413,102.9781413,14.43207044,144.3207044,24.72988456,247.2988456,29.87,0.3017
2013-07-08,C09,2,ambient,control,11.2062159,112.062159,10.92295074,109.2295074,22.12916664,221.2916664,40.48,0.4366
