Sample Date,Time,Chamber,Canopy Position,Starch,Soluble Sugars,TNC
20/02/2014,18:00,C02,Upper,63.87,81.38,145.25
20/02/2014,18:00,C03,Lower,82.81,92.49,175.29
20/02/2014,18:00,C03,Upper,84.9,86.86,171.76
20/02/2014,18:00,C04,Lower,111.65,81.58,193.22
20/02/2014,18:00,C04,Upper,78.84,77.82,156.66
20/02/2014,18:00,C05,Lower,89.6,80.46,170.06
20/02/2014,18:00,C05,Upper,74.63,117.06,191.69
20/02/2014,18:00,C06,Lower,66.5,84.61,151.1
20/02/2014,18:00,C06,Upper,69.05,109.44,178.49
20/02/2014,18:00,C07,Lower,105.64,103.66,209.31
20/02/2014,18:00,C07,Upper,101.27,90.27,191.54
20/02/2014,18:00,C08,Lower,90.27,80.46,170.72
20/02/2014,18:00,C08,Upper,84.99,128.55,213.54
20/02/2014,18:00,C09,Lower,76.3,80.78,157.08
20/02/2014,18:00,C09,Upper,93.01,94.03,187.05
20/02/2014,18:00,C10,Lower,145.31,95.49,240.8
20/02/2014,18:00,C10,Upper,77.25,92.84,170.09
20/02/2014,18:00,C11,Lower,106.25,104.84,211.09
20/02/2014,18:00,C11,Upper,117.81,78.42,196.23
20/02/2014,18:00,C12,Lower,122.8,89.72,212.52
20/02/2014,18:00,C12,Upper,93.79,67.32,161.1
20/02/2014,20:00,C01,Lower,110.95,79.56,190.51
20/02/2014,20:00,C01,Upper,101.13,91.06,192.19
20/02/2014,20:00,C02,Lower,179.97,96.6,276.57
20/02/2014,20:00,C02,Upper,64.81,71.79,136.6
20/02/2014,20:00,C03,Lower,94.81,102.93,197.75
20/02/2014,20:00,C03,Upper,67.31,93.57,160.88
20/02/2014,20:00,C04,Lower,83.3,100.55,183.84
20/02/2014,20:00,C04,Upper,87.4,102.74,190.14
20/02/2014,20:00,C05,Lower,71.1,78.54,149.64
20/02/2014,20:00,C05,Upper,70.71,92.27,162.98
20/02/2014,20:00,C06,Lower,74.24,91.46,165.69
20/02/2014,20:00,C06,Upper,55.83,92.63,148.46
20/02/2014,20:00,C07,Lower,97.38,94.58,191.96
20/02/2014,20:00,C07,Upper,84.42,79.42,163.84
20/02/2014,20:00,C08,Lower,109.68,93.32,203
20/02/2014,20:00,C08,Upper,81.28,119.22,200.5
20/02/2014,20:00,C09,Lower,88.41,94.5,182.9
20/02/2014,20:00,C09,Upper,67.74,83.57,151.31
20/02/2014,20:00,C10,Lower,138.85,133.02,271.86
20/02/2014,20:00,C10,Upper,82.04,91.37,173.41
20/02/2014,20:00,C11,Lower,102.11,117.58,219.69
20/02/2014,20:00,C11,Upper,90.51,103.46,193.96
20/02/2014,20:00,C12,Lower,215.58,76.06,291.64
20/02/2014,20:00,C12,Upper,74.04,92.41,166.45
26/03/2014,6:00,C01,Lower,95.82,79.81,175.63
26/03/2014,6:00,C01,Upper,79.37,90.8,170.17
26/03/2014,6:00,C02,Lower,78.13,84.97,163.1
