"Date","T_treatment","Tair"
2013-12-26,"ambient",21.4628715992752
2013-12-26,"elevated",24.4561205460731
2013-12-27,"ambient",19.6438789668302
2013-12-27,"elevated",22.6423593809474
2013-12-28,"ambient",20.3450728092911
2013-12-28,"elevated",23.2630389273457
2013-12-29,"ambient",22.2794050108758
2013-12-29,"elevated",24.8834635017902
2013-12-30,"ambient",21.9984274205317
2013-12-30,"elevated",24.6009161025888
2013-12-31,"ambient",23.3662867700841
2013-12-31,"elevated",25.292386418816
2014-01-01,"ambient",22.8466081323592
2014-01-01,"elevated",24.7661672094912
2014-01-02,"ambient",23.6644465406664
2014-01-02,"elevated",25.580460752448
2014-01-03,"ambient",23.9087266450039
2014-01-03,"elevated",26.581786467437
2014-01-04,"ambient",24.4560342911663
2014-01-04,"elevated",27.3292980948953
2014-01-05,"ambient",24.5083713541847
2014-01-05,"elevated",27.3846082899819
2014-01-06,"ambient",23.6917213801706
2014-01-06,"elevated",26.5691205532561
2014-01-07,"ambient",23.3554475165872
2014-01-07,"elevated",26.3551640290457
2014-01-08,"ambient",21.5654176188934
2014-01-08,"elevated",24.5621268323269
2014-01-09,"ambient",19.6001726564332
2014-01-09,"elevated",22.5993569761859
2014-01-10,"ambient",18.2360567346565
2014-01-10,"elevated",21.2380177628372
2014-01-11,"ambient",19.348787833443
2014-01-11,"elevated",22.3513125551549
2014-01-12,"ambient",21.6929746280546
2014-01-12,"elevated",24.6941686510383
2014-01-13,"ambient",23.2461107778587
2014-01-13,"elevated",26.2460548408019
2014-01-14,"ambient",23.3615033649416
2014-01-14,"elevated",26.3335953486532
2014-01-15,"ambient",23.179266242145
2014-01-15,"elevated",26.0901608126868
2014-01-16,"ambient",23.5902223672808
2014-01-16,"elevated",26.6370663038594
2014-01-17,"ambient",24.8123262392467
2014-01-17,"elevated",27.6913725938101
2014-01-18,"ambient",25.1563419564332
2014-01-18,"elevated",28.0947935271944
2014-01-19,"ambient",25.5469804247659
2014-01-19,"elevated",28.3044338169823
2014-01-20,"ambient",25.0788845897611
2014-01-20,"elevated",28.0300159627771
2014-01-21,"ambient",24.363295145091
2014-01-21,"elevated",27.3111673802968
2014-01-22,"ambient",22.7246561971309
2014-01-22,"elevated",25.7213452650643
2014-01-23,"ambient",21.276055552792
2014-01-23,"elevated",24.2720489745713
2014-01-24,"ambient",20.3963918209274
2014-01-24,"elevated",23.398857584318
2014-01-25,"ambient",20.7839973093096
2014-01-25,"elevated",23.7432201217995
2014-01-26,"ambient",20.9556349309223
2014-01-26,"elevated",23.9234458120613
2014-01-27,"ambient",20.131538546235
2014-01-27,"elevated",23.095542042464
2014-01-28,"ambient",19.2497559968014
2014-01-28,"elevated",22.253877839688
2014-01-29,"ambient",19.746237183939
2014-01-29,"elevated",22.6718783489059
2014-01-30,"ambient",21.765403716341
2014-01-30,"elevated",24.6355113441603
2014-01-31,"ambient",22.9285396487666
2014-01-31,"elevated",25.8114540866899
2014-02-01,"ambient",23.842943608823
2014-02-01,"elevated",26.6137065467608
2014-02-02,"ambient",24.2665226305254
2014-02-02,"elevated",27.0943076419859
2014-02-03,"ambient",24.4822411217558
2014-02-03,"elevated",27.2924660925809
2014-02-04,"ambient",24.2702397236572
2014-02-04,"elevated",27.3678018650322
2014-02-05,"ambient",22.5081730720246
2014-02-05,"elevated",25.5345280917248
2014-02-06,"ambient",20.8166022005887
2014-02-06,"elevated",23.8483732679511
2014-02-07,"ambient",19.1847222590414
2014-02-07,"elevated",22.113251346
2014-02-08,"ambient",19.7070696905058
2014-02-08,"elevated",22.5621864426089
2014-02-09,"ambient",21.0363008871662
2014-02-09,"elevated",24.021084240571
2014-02-10,"ambient",22.9794565762409
2014-02-10,"elevated",25.7145607182922
2014-02-11,"ambient",23.487996526698
2014-02-11,"elevated",26.3642649962377
2014-02-12,"ambient",23.4813244939739
2014-02-12,"elevated",26.2279305837286
2014-02-13,"ambient",23.3192431539544
2014-02-13,"elevated",26.102215465908
2014-02-14,"ambient",24.1567433552108
2014-02-14,"elevated",26.7616561223529
2014-02-15,"ambient",23.9543587483591
2014-02-15,"elevated",26.5568974998413
2014-02-16,"ambient",23.2763230479358
2014-02-16,"elevated",26.0925705906936
2014-02-17,"ambient",22.011045615254
2014-02-17,"elevated",25.0099261045227
2014-02-18,"ambient",21.1223461060852
2014-02-18,"elevated",24.1219418522788
2014-02-19,"ambient",20.7248645833395
2014-02-19,"elevated",23.7245047976846
2014-02-20,"ambient",20.7021008508869
2014-02-20,"elevated",23.6962346106257
2014-02-21,"ambient",21.4708590153522
2014-02-21,"elevated",24.4702288804979
2014-02-22,"ambient",21.3634873731664
2014-02-22,"elevated",24.3632630525261
2014-02-23,"ambient",21.2951258108349
2014-02-23,"elevated",24.2992783356832
2014-02-24,"ambient",20.7502274974569
2014-02-24,"elevated",23.7494215371661
2014-02-25,"ambient",21.1885058263144
2014-02-25,"elevated",24.1910514535934
2014-02-26,"ambient",21.5694053804006
2014-02-26,"elevated",24.5709656966706
2014-02-27,"ambient",22.391036858072
2014-02-27,"elevated",25.3923607941787
2014-02-28,"ambient",21.5066099415442
2014-02-28,"elevated",24.5012262830064
2014-03-01,"ambient",19.9455834172722
2014-03-01,"elevated",22.941974004791
2014-03-02,"ambient",18.3928925411619
2014-03-02,"elevated",21.3887082252369
2014-03-03,"ambient",17.9861217238628
2014-03-03,"elevated",20.989395316824
2014-03-04,"ambient",18.7632940633166
2014-03-04,"elevated",21.64696795593
2014-03-05,"ambient",19.496368770876
2014-03-05,"elevated",22.3845809502592
2014-03-06,"ambient",20.0346664931424
2014-03-06,"elevated",22.9631132307812
2014-03-07,"ambient",20.403824231552
2014-03-07,"elevated",23.4565335288298
2014-03-08,"ambient",20.5732483189152
2014-03-08,"elevated",23.6134549817926
2014-03-09,"ambient",21.2481964649016
2014-03-09,"elevated",24.2419642457119
2014-03-10,"ambient",21.3873020130649
2014-03-10,"elevated",24.3744167957326
2014-03-11,"ambient",21.6191626908386
2014-03-11,"elevated",24.6196795675252
2014-03-12,"ambient",21.2068521716891
2014-03-12,"elevated",24.4140271145324
2014-03-13,"ambient",21.0676633627718
2014-03-13,"elevated",24.2776754624438
